lon,lat,region,elevation,temp,maxtemp,mintemp,prec,maxprec,minprec,ecoregion
-89.14416851,14.83898817,ca,603,23.908333381017048,30.700000762939453,17,1388,265,18,Central American Pine-Oak Forests
-89.121447,14.818875,ca,856,22.579166491826374,29.100000381469727,15.899999618530273,1471,271,18,Central American Pine-Oak Forests
-89.06139,14.24637,ca,1188,20.583333253860474,26.399999618530273,14.699999809265137,1526,293,4,Central American Pine-Oak Forests
-89.13716269,14.84449834,ca,612,23.808333317438763,30.600000381469727,16.899999618530273,1423,269,19,Central American Pine-Oak Forests
-89.087923,14.442959,ca,1825,16.983333309491474,22.799999237060547,10.800000190734863,1579,283,21,Central American Pine-Oak Forests
-89.093507,14.446993,ca,1691,17.454166650772095,23.399999618530273,11.199999809265137,1535,275,19,Central American Pine-Oak Forests
-89.113456,14.413368,ca,1961,16.49583339691162,22.399999618530273,10.399999618530273,1617,293,22,Central American Pine-Oak Forests
-89.081008,14.438238,ca,1992,16.40416657924652,22.299999237060547,10.300000190734863,1612,291,22,Central American Pine-Oak Forests
-89.134866,14.45577,ca,1380,19.520833333333332,25.600000381469727,13,1483,273,16,Central American Pine-Oak Forests
-89.166038,14.840747,ca,598,23.954166571299236,30.799999237060547,17.100000381469727,1374,260,17,Central American Pine-Oak Forests
-89.449778,14.323638,ca,506,24.574999968210857,30.899999618530273,17.899999618530273,1206,237,1,Central American Dry Forests
-89.582024,14.199157,ca,504,24.616666555404663,30.899999618530273,17.799999237060547,1350,261,1,Central American Dry Forests
-85.876317,13.179426,ca,1029,20.6291667620341,25.700000762939453,15.100000381469727,1807,269,29,Central American Pine-Oak Forests
-89.114503,14.431394,ca,1616,17.65416669845581,23.700000762939453,11.300000190734863,1541,275,18,Central American Pine-Oak Forests
-85.344597,13.314764,ca,632,22.879166682561237,28.5,17,2114,349,39,Central American Atlantic Moist Forests
-85.761617,13.082865,ca,475,23.77916677792867,29.700000762939453,17.5,1643,257,20,Central American Pine-Oak Forests
-85.338307,13.311039,ca,494,23.579166571299236,29.299999237060547,17.600000381469727,2095,347,38,Central American Atlantic Moist Forests
-85.872996,13.157155,ca,1391,18.72083322207133,23.399999618530273,13.600000381469727,1770,268,33,Central American Montane Forests
-85.379114,12.945179,ca,405,23.925000031789143,29.600000381469727,18.100000381469727,1937,321,29,Central American Atlantic Moist Forests
-85.88018773,13.16913557,ca,1067,20.37499984105428,25.299999237060547,14.899999618530273,1788,274,29,Central American Pine-Oak Forests
-85.764578,13.098662,ca,567,23.329166730244953,29.200000762939453,17.200000762939453,1661,254,22,Central American Pine-Oak Forests
-85.609054,13.433546,ca,494,23.78333322207133,29.899999618530273,17.299999237060547,1768,278,24,Central American Atlantic Moist Forests
-85.73901029,13.04684312,ca,496,23.712500015894573,29.700000762939453,17.600000381469727,1634,263,22,Central American Atlantic Moist Forests
-85.600675,13.442302,ca,572,23.362499952316284,29.399999618530273,17,1765,277,25,Central American Atlantic Moist Forests
-85.883549,13.175049,ca,1019,20.679166674613953,25.799999237060547,15.100000381469727,1756,269,28,Central American Pine-Oak Forests
-85.392494,12.872157,ca,317,24.420833428700764,30.100000381469727,18.700000762939453,1697,295,23,Central American Atlantic Moist Forests
-85.47998997,12.92238059,ca,839,21.670833349227905,26.899999618530273,16.200000762939453,1968,301,37,Central American Atlantic Moist Forests
-85.335113,12.969916,ca,336,24.31666660308838,30.100000381469727,18.399999618530273,1965,300,30,Central American Atlantic Moist Forests
-85.618594,13.436677,ca,531,23.595833381017048,29.700000762939453,17.100000381469727,1775,279,23,Central American Atlantic Moist Forests
-85.792182,13.120791,ca,796,21.858333190282185,27.200000762939453,16,1798,271,28,Central American Pine-Oak Forests
-85.363241,13.009697,ca,362,24.166666746139526,29.899999618530273,18.299999237060547,1984,301,31,Central American Atlantic Moist Forests
-85.359831,13.004139,ca,393,24.012500047683716,29.700000762939453,18.200000762939453,1980,329,31,Central American Atlantic Moist Forests
-85.41605064,12.97324682,ca,550,23.116666714350384,28.600000381469727,17.399999618530273,1899,297,27,Central American Atlantic Moist Forests
-85.885899,13.17230964,ca,1072,20.354166587193806,25.299999237060547,14.899999618530273,1790,271,29,Central American Pine-Oak Forests
-85.355404,12.910002,ca,426,23.799999872843426,29.399999618530273,18.100000381469727,1904,335,28,Central American Atlantic Moist Forests
-85.329142,13.048744,ca,408,23.970833381017048,29.600000381469727,18,2025,305,33,Central American Atlantic Moist Forests
-85.37612113,13.39190546,ca,511,23.574999888737995,29.299999237060547,17.5,2008,336,36,Central American Atlantic Moist Forests
-85.347469,12.908321,ca,412,23.891666730244953,29.5,18.200000762939453,1911,335,28,Central American Atlantic Moist Forests
-85.920919,13.185366,ca,976,20.941666682561237,26.200000762939453,15.199999809265137,1664,256,25,Central American Pine-Oak Forests
-85.353286,13.330754,ca,545,23.31250015894572,29,17.299999237060547,2064,310,37,Central American Atlantic Moist Forests
-85.659041,13.337479,ca,670,22.579166889190674,28.200000762939453,16.5,1821,277,29,Central American Atlantic Moist Forests
-85.575034,13.359128,ca,730,22.329166730244953,27.899999618530273,16.299999237060547,1880,286,31,Central American Atlantic Moist Forests
-85.345868,13.324148,ca,675,22.675000031789143,28.200000762939453,16.899999618530273,2064,311,39,Central American Atlantic Moist Forests
-85.902498,13.165361,ca,1133,20.025000055631,24.899999618530273,14.600000381469727,1750,266,29,Central American Pine-Oak Forests
-85.566314,13.370576,ca,845,21.675000111262005,27.100000381469727,15.899999618530273,1960,285,34,Central American Atlantic Moist Forests
